Code	d13C	d15N
2	-22.73712036	8.370973223
2	-23.05476207	7.578835511
2	-20.90675903	10.27594808
2	-20.03814621	12.13640944
2	-20.20873158	11.15711276
2	-22.22046239	9.44030855
2	-20.23226059	11.62349269
2	-22.58516213	7.199459213
2	-22.81064853	8.58443562
2	-22.80966815	8.931438475
2	-23.33024762	8.726069438
2	-24.72924366	8.791827997
2	-21.68713804	9.983575409
2	-20.63519498	11.55571079
2	-22.44398804	9.91174683
2	-24.5508153	9.978517059
2	-22.26555967	9.178285986
2	-22.43810579	9.91174683
2	-19.03326118	12.74846987
2	-22.06458267	9.045757199
2	-21.13910806	8.999220373
2	-21.07832477	10.32046156
3	-24.38226398	8.995401436
3	-26.75901507	6.820802872
3	-21.43509263	11.8701436
3	-22.55241067	10.59346932
3	-23.18261725	9.086380548
3	-23.3639364	8.388214752
3	-21.01560831	12.5089752
3	-22.28876282	11.85333225
3	-20.7901845	11.88695496
3	-21.9800302	10.29877611
3	-22.75725231	8.784765013
3	-24.11959623	9.75982376
3	-23.1698759	9.069569191
3	-23.60011474	10.17881622
3	-22.37011141	10.27405352
3	-24.14703913	9.611488251
3	-25.37020835	8.693785901
3	-22.01335372	10.4995235
3	-23.79616206	7.971886423
3	-23.23946325	8.298224543
3	-24.36756243	7.625770235
3	-23.8324259	7.195597258
3	-24.2479898	9.529409269
3	-27.29709192	6.380740862
3	-19.81400137	12.26372715
3	-24.07941199	9.453263708
3	-27.3745201	9.105169713
3	-25.61327403	6.320417755
3	-26.2689633	9.186259791
3	-23.88633159	8.996390339
3	-23.07970637	8.334813969
3	-23.58838011	7.375577676
3	-27.1265539	7.014627937
3	-25.3564869	8.633462794
3	-25.92004644	7.928374674
3	-30.21289996	7.500179504
3	-20.46282992	11.23526762
3	-24.48027434	8.056932115
3	-23.41196148	9.639177546
3	-24.77136509	7.799817232
3	-23.47174779	8.630496084
3	-24.48909527	7.928374674
3	-24.55084179	10.81300587
3	-23.45116562	9.416674282
3	-24.63939778	8.472416048
3	-24.6656423	9.045724888
3	-24.90604212	9.647126901
3	-22.93455368	10.15592549
3	-24.01162884	9.773025939
3	-23.76178099	9.195555147
3	-22.27214197	11.06635241
3	-22.18186081	10.82599971
3	-23.08467234	10.84160702
3	-25.01836867	9.95198986
3	-21.11318391	12.26811595
3	-23.72083954	8.606638989
